i,j,lb,ub_min_x,nc,rfr,rsr,ub_ext_1,ub_none,ub_bad,ub_ext_21,ub_ext_22,ub_ext_23,ub_ext_25,ub_ext_3,ub_ext_4
11,1,54,58.4429805,1.5,0.75,0.7,58.44255733,59.95651933,59.95651933,58.46722695,58.52220845,58.45247126,58.47176981,58.3003707,58.30632502
11,2,56,61.3417808,1.5,0.75,0.7,61.4200615,62.59217807,62.59217807,61.19299434,61.42535251,61.58030084,60.9355255,60.868969,60.86801084
11,3,81,82.1407817,1.5,0.75,0.7,82.14078166,84.73668198,84.73668198,83.90448258,82.91759915,82.35866705,82.67688793,82.1535751,82.08618853
11,4,63,66.4263175,1.5,0.75,0.7,66.68224933,68.1067617,68.1067617,65.92705518,66.03791621,64.78866325,64.50510572,64.555976,64.30462638
11,5,49,53.7727996,1.5,0.75,0.7,53.97403318,54.75486863,54.75486863,53.30528682,53.57437708,53.51581504,53.51319902,53.5036444,53.50370132
11,6,44,48.7136769,1.5,0.75,0.7,48.71651845,49.59257219,49.59257219,48.84489992,48.53974314,48.48114264,48.57629991,48.6377621,48.63328632
11,7,36,40.2935344,1.5,0.75,0.7,40.26608283,41.88023749,41.88023749,40.41778158,40.14744471,40.04725776,40.20032356,40.0544574,40.05445737
11,8,62,65.6115192,1.5,0.75,0.7,65.36417888,66.63666971,66.63666971,65.51271116,65.37447253,65.31929142,65.2338288,65.2518708,65.25187077
11,9,67,70.1880646,1.5,0.75,0.7,70.18806464,71.77926366,71.77926366,69.09950288,68.6833203,68.87697117,68.30436446,68.2713627,68.27136267
11,10,38,42.2048456,1.5,0.75,0.7,41.86819735,43.26911311,43.26911311,41.73308318,41.58144367,41.67963533,41.40332952,41.4264124,41.39879432
12,1,47,50.4184063,1.5,0.75,1,50.42128634,52.67563157,52.67563157,50.6542891,50.37630917,50.22339486,50.0893193,50.359365,50.35936501
12,2,46,50.614574,1.5,0.75,1,50.49928488,53.33352157,53.33352157,50.28703676,50.66668284,50.54410125,49.77660977,49.6870815,49.96307277
12,3,37,37.8559213,1.5,0.75,1,38.6388841,41.31263667,41.31263667,38.61301408,38.13810502,38.14268397,37.79352711,37.671911,37.671911
12,4,63,65.2647968,1.5,0.75,1,65.26479682,68.16262667,68.16262667,65.90565383,65.77126094,65.0145886,64.83352773,64.7897596,64.7842401
12,5,47,47.5370047,1.5,0.75,1,47.53695665,51.30319853,51.30319853,49.02655977,48.94555958,48.21426525,47.63488482,47.3996799,47.40491302
12,6,53,55.1302983,1.5,0.75,1,55.13029831,57.33834986,57.33834986,56.34095171,55.15265009,55.24484734,55.25227589,54.3748929,54.51841018
12,7,55,56.4185488,1.5,0.75,1,56.22387389,59.80859409,59.80859409,57.42605328,57.18265422,56.59933955,56.09100263,56.4057718,56.20332303
12,8,35,36.8994609,1.5,0.75,1,36.90570469,39.43753917,39.43753917,37.2888942,37.37795892,37.18939373,37.05812923,37.0500676,37.03654964
12,9,52,54.3481193,1.5,0.75,1,54.67978981,56.66841237,56.66841237,55.0653161,54.94832273,54.57830736,54.22471201,54.3310465,54.3310465
12,10,57,58.6742996,1.5,0.75,1,58.46864588,62.25470891,62.25470891,59.33781668,59.17707157,58.34078923,58.0729868,57.2008371,57.18741184
13,1,58,63.3026603,1.5,1,0.2,63.30848305,63.96083222,63.96083222,63.23023304,63.49498452,63.2549002,63.36817615,63.3485937,63.34859369
13,2,62,66.8988242,1.5,1,0.2,66.80385521,67.40616084,67.40616084,66.93896668,66.83482913,66.80482673,66.83840543,66.8082826,66.80243752
13,3,76,80.6648645,1.5,1,0.2,80.66508088,81.90584252,81.90584252,80.78203946,80.58724056,80.58885115,80.56504587,80.5610937,80.56131007
13,4,72,76.9393476,1.5,1,0.2,76.93934759,77.26326595,77.26326595,76.93556742,76.90151506,76.90151506,76.9411917,76.902905,76.90290503
13,5,67,72.7964583,1.5,1,0.2,73.04019324,73.90257053,73.90257053,72.7338061,72.41030817,72.88223941,73.13820148,72.2397545,72.23741988
13,6,64,69.3654908,1.5,1,0.2,69.40375099,69.76346344,69.76346344,69.32821929,69.3143584,69.30586911,69.30311917,69.3031192,69.30311917
13,7,77,82.1011234,1.5,1,0.2,82.1011234,82.77351258,82.77351258,81.63141407,81.63141407,81.63141407,81.63141407,81.6309927,81.6309927
13,8,106,110.4862773,1.5,1,0.2,110.4862773,111.3973698,111.3973698,110.3296249,110.3296249,110.4910808,110.4862773,110.525237,110.3231618
13,9,71,76.9334767,1.5,1,0.2,76.97197816,77.56378903,77.56378903,76.26575875,76.20481269,76.2007878,76.45286159,76.2450036,76.24500361
13,10,64,67.4202403,1.5,1,0.2,68.44567872,69.30134874,69.30134874,67.1976188,67.37763347,68.08645544,68.1198525,67.364255,67.42266218
14,1,50,53.647715,1.5,1,0.5,53.65256144,54.47970441,54.47970441,53.91738678,53.70569666,53.6685207,53.64843015,53.5143939,53.49598005
14,2,53,58.6279773,1.5,1,0.5,58.62797725,59.77755992,59.77755992,58.73486809,58.75321702,58.62956074,58.60229975,58.5640992,58.5829503
14,3,58,63.5103757,1.5,1,0.5,63.58028881,64.7201819,64.7201819,63.74423893,63.53631656,63.4952382,63.49829839,63.4832625,63.47961322
14,4,50,54.6290847,1.5,1,0.5,54.61209029,56.58715636,56.58715636,54.19731452,54.18378649,54.44927816,54.07587919,54.1555338,54.15531964
14,5,52,55.4539104,1.5,1,0.5,55.31350359,56.46110862,56.46110862,55.4226883,55.15852704,55.03218565,55.02685481,54.9960057,54.99600568
14,6,35,39.1228848,1.5,1,0.5,39.12288478,40.46113169,40.46113169,39.08182208,38.92878032,39.0023074,39.06452936,38.8129135,38.83291052
14,7,50,55.1160726,1.5,1,0.5,55.14325278,56.12879156,56.12879156,54.70087237,54.60033336,54.72350847,54.78406884,54.5884286,54.58842864
14,8,54,58.4026464,1.5,1,0.5,58.38141299,59.92090415,59.92090415,58.61345243,58.27830403,58.19304146,58.14927464,58.1749862,58.16444836
